2022-05-15 14:05:710 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (1da9547fead39fa3c047877efdff9c76)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:389 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:762 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (3017cfbd59171d19554bed79ba6a7957)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:801 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (3017cfbd59171d19554bed79ba6a7957)] -> xpath: //input[@id='email']]
2022-05-15 14:05:989 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (3017cfbd59171d19554bed79ba6a7957)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:61 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:882 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (d95847c0052b6d110e74c55b6eaf2186)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:931 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (d95847c0052b6d110e74c55b6eaf2186)] -> xpath: //input[@id='email']]
2022-05-15 14:05:158 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (d95847c0052b6d110e74c55b6eaf2186)] -> xpath: //input[@id='passwd']]
2022-05-15 22:05:570 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 22:05:326 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (ec7263fffcfa7bcb8a1e1c12f7c4d0cb)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 22:05:375 INFO  SigninPage :76 - verify Text [[ChromeDriver: chrome on WINDOWS (ec7263fffcfa7bcb8a1e1c12f7c4d0cb)] -> xpath: //h1[normalize-space()='Authentication']]
2022-05-15 22:05:445 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 22:05:877 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (4aa5fac9f776d2f094290a80543f8581)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 22:05:947 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (4aa5fac9f776d2f094290a80543f8581)] -> xpath: //input[@id='email']]
2022-05-15 22:05:197 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (4aa5fac9f776d2f094290a80543f8581)] -> xpath: //input[@id='passwd']]
2022-05-15 22:05:707 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 22:05:896 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (7067849d618a69885cf6e7087281ab86)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 22:05:919 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (7067849d618a69885cf6e7087281ab86)] -> xpath: //input[@id='email']]
2022-05-15 22:05:122 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (7067849d618a69885cf6e7087281ab86)] -> xpath: //input[@id='passwd']]
2022-05-15 22:05:426 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 22:05:220 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (319d3ae7c104ef2cca1ba2d18d7aafdb)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 22:05:269 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (319d3ae7c104ef2cca1ba2d18d7aafdb)] -> xpath: //input[@id='email']]
2022-05-15 22:05:493 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (319d3ae7c104ef2cca1ba2d18d7aafdb)] -> xpath: //input[@id='passwd']]
2022-05-15 22:05:919 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 23:05:482 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (a79f02cd3b4e63657154f29859d1404c)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 23:05:518 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (a79f02cd3b4e63657154f29859d1404c)] -> xpath: //input[@id='email']]
2022-05-15 23:05:904 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (a79f02cd3b4e63657154f29859d1404c)] -> xpath: //input[@id='passwd']]
2022-05-15 23:05:19 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 23:05:964 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (a19ba2ba1daab9960857b999716f7ade)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 23:05:999 INFO  SigninPage :76 - verify Text [[ChromeDriver: chrome on WINDOWS (a19ba2ba1daab9960857b999716f7ade)] -> xpath: //h1[normalize-space()='Authentication']]
2022-05-15 23:05:930 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 23:05:787 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (d70656716203b016b5594cba744f4823)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 23:05:821 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (d70656716203b016b5594cba744f4823)] -> xpath: //input[@id='email']]
2022-05-15 23:05:910 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (d70656716203b016b5594cba744f4823)] -> xpath: //input[@id='passwd']]
2022-05-15 23:05:411 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 23:05:678 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (5b789d0e9e66bd1166f1272842b0812c)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 23:05:700 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (5b789d0e9e66bd1166f1272842b0812c)] -> xpath: //input[@id='email']]
